Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
DEF NO			NO	DEF	181	222.0			
J STE RB NYG	Jonathan	Stewart	NYG	RB	208	224.0	-7.0		
H HUR TE BAL	Hayden	Hurst	BAL	TE	257	225.0	-9.0		
D SPR RB PHI	Darren	Sproles	PHI	RB	200	226.0	-6.0		
D BAI K DAL	Dan	Bailey	DAL	K	223	228.0			
B MAR WR SEA	Brandon	Marshall	SEA	WR	229	230.0	10.0		
W LUT K NO	Wil	Lutz	NO	K	185	231.0			
T PRY WR NYJ	Terrelle	Pryor	NYJ	WR	231	233.0	-3.0		
C BEA WR DAL	Cole	Beasley	DAL	WR	214	234.0	-3.0		
M PRA K DET	Matt	Prater	DET	K	189	235.0			
DEF ARI			ARI	DEF	222	236.0			
DEF CHI			CHI	DEF	286	237.0			
S BRA QB ARI	Sam	Bradford	ARI	QB	270	239.0	-3.0		
W SNE WR BAL	Willie	Snead	BAL	WR	227	240.0	-2.0		
Z JON WR BUF	Zay	Jones	BUF	WR	262	241.0	-7.0		
J ELL K PHI	Jake	Elliott	PHI	K	188	242.0			
K BAL RB MIA	Kalen	Ballage	MIA	RB	277	243.0	2.0	Day to day	
J HIL RB NE	Jeremy	Hill	NE	RB	112	245.0	4.0		
J FLA QB BAL	Joe	Flacco	BAL	QB	268	246.0	-9.0		
DEF ATL			ATL	DEF	253	247.0			
J BUT TE DEN	Jake	Butt	DEN	TE	289	248.0	-5.0		
C PRO RB SEA	C.J.	Prosise	SEA	RB	240	249.0	3.0		
J KEL RB LAR	John	Kelly	LAR	RB	237	250.0	13.0		
E DEC WR NE	Eric	Decker	NE	WR	165				
DEF TEN			TEN	DEF	182				
C BOS K PIT	Chris	Boswell	PIT	K	186				
R GOU K SF	Robbie	Gould	SF	K	187				
H BUT K KC	Harrison	Butker	KC	K	190				
A VIN K IND	Adam	Vinatieri	IND	K	191				
G GAN K CAR	Graham	Gano	CAR	K	192				
C EDM RB ARI	Chase	Edmonds	ARI	RB	201				
E MCG RB NYJ	Elijah	McGuire	NYJ	RB	207			Out Indefinitely	
J CON RB PIT	James	Conner	PIT	RB	209				
T BOY WR CIN	Tyler	Boyd	CIN	WR	217				
DEF WAS			WAS	DEF	221				
R SUC K TEN	Ryan	Succop	TEN	K	224				
A CAL WR CLE	Antonio	Callaway	CLE	WR	232			Status uncertain	
C COL WR BUF	Corey	Coleman	BUF	WR	233				
R SMI RB DAL	Rod	Smith	DAL	RB	235				
C GRA RB JAC	Corey	Grant	JAC	RB	238				
A BLU RB HOU	Alfred	Blue	HOU	RB	239				
M WAL RB CIN	Mark	Walton	CIN	RB	241				
