Index	First	Last	Team	Position	ESPNRank	FPRank	Std Dev	Injury Status	Blurb
DEF ATL			ATL	DEF	253	247.0	21.5		
J BUT TE DEN	Jake	Butt	DEN	TE	289	248.0	30.8		
C PRO RB SEA	C.J.	Prosise	SEA	RB	240	249.0	42.0		
J KEL RB LAR	John	Kelly	LAR	RB	237	250.0	54.8		
E DEC WR NE	Eric	Decker	NE	WR	165				
DEF TEN			TEN	DEF	182				
C BOS K PIT	Chris	Boswell	PIT	K	186				
R GOU K SF	Robbie	Gould	SF	K	187				
H BUT K KC	Harrison	Butker	KC	K	190				
A VIN K IND	Adam	Vinatieri	IND	K	191				
G GAN K CAR	Graham	Gano	CAR	K	192				
C EDM RB ARI	Chase	Edmonds	ARI	RB	201				
E MCG RB NYJ	Elijah	McGuire	NYJ	RB	207			Out Indefinitely	
J CON RB PIT	James	Conner	PIT	RB	209				
T BOY WR CIN	Tyler	Boyd	CIN	WR	217				
DEF WAS			WAS	DEF	221				
R SUC K TEN	Ryan	Succop	TEN	K	224				
A CAL WR CLE	Antonio	Callaway	CLE	WR	232			Day to day	
C COL WR BUF	Corey	Coleman	BUF	WR	233				
R SMI RB DAL	Rod	Smith	DAL	RB	235				
C GRA RB JAC	Corey	Grant	JAC	RB	238				
A BLU RB HOU	Alfred	Blue	HOU	RB	239				
M WAL RB CIN	Mark	Walton	CIN	RB	241				
T AUS RB DAL	Tavon	Austin	DAL	RB	242				
